team_ID,team_abbreviation,team_wins,team_losses,team_win_percentage,conference,team_playoff_rank,season
1610612755,76ers,56,26,0.683,East,1,2000-01
1610612759,Spurs,58,24,0.707,West,1,2000-01
1610612747,Lakers,56,26,0.683,West,2,2000-01
1610612749,Bucks,52,30,0.634,East,2,2000-01
1610612748,Heat,50,32,0.61,East,3,2000-01
1610612758,Kings,55,27,0.671,West,3,2000-01
1610612742,Mavericks,53,29,0.646,West,4,2000-01
1610612752,Knicks,48,34,0.585,East,4,2000-01
1610612762,Jazz,53,29,0.646,West,4,2000-01
1610612761,Raptors,47,35,0.573,East,5,2000-01
1610612756,Suns,51,31,0.622,West,6,2000-01
1610612766,Hornets,46,36,0.561,East,6,2000-01
1610612753,Magic,43,39,0.524,East,7,2000-01
1610612757,Trail Blazers,50,32,0.61,West,7,2000-01
1610612750,Timberwolves,47,35,0.573,West,8,2000-01
1610612754,Pacers,41,41,0.5,East,8,2000-01
1610612738,Celtics,36,46,0.439,East,9,2000-01
1610612745,Rockets,45,37,0.549,West,9,2000-01
1610612760,SuperSonics,44,38,0.537,West,10,2000-01
1610612765,Pistons,32,50,0.39,East,10,2000-01
1610612739,Cavaliers,30,52,0.366,East,11,2000-01
1610612743,Nuggets,40,42,0.488,West,11,2000-01
1610612746,Clippers,31,51,0.378,West,12,2000-01
1610612751,Nets,26,56,0.317,East,12,2000-01
1610612737,Hawks,25,57,0.305,East,13,2000-01
1610612763,Grizzlies,23,59,0.28,West,13,2000-01
1610612744,Warriors,17,65,0.207,West,14,2000-01
1610612764,Wizards,19,63,0.232,East,14,2000-01
1610612741,Bulls,15,67,0.183,East,15,2000-01
1610612758,Kings,61,21,0.744,West,1,2001-02
1610612751,Nets,52,30,0.634,East,1,2001-02
1610612765,Pistons,50,32,0.61,East,2,2001-02
1610612759,Spurs,58,24,0.707,West,2,2001-02
1610612738,Celtics,49,33,0.598,East,3,2001-02
1610612747,Lakers,58,24,0.707,West,3,2001-02
1610612766,Hornets,44,38,0.537,East,4,2001-02
1610612742,Mavericks,57,25,0.695,West,4,2001-02
1610612750,Timberwolves,50,32,0.61,West,5,2001-02
1610612753,Magic,44,38,0.537,East,5,2001-02
1610612755,76ers,43,39,0.524,East,6,2001-02
1610612757,Trail Blazers,49,33,0.598,West,6,2001-02
1610612760,SuperSonics,45,37,0.549,West,7,2001-02
1610612761,Raptors,42,40,0.512,East,7,2001-02
1610612754,Pacers,42,40,0.512,East,8,2001-02
1610612762,Jazz,44,38,0.537,West,8,2001-02
1610612749,Bucks,41,41,0.5,East,9,2001-02
1610612746,Clippers,39,43,0.476,West,9,2001-02
1610612764,Wizards,37,45,0.451,East,10,2001-02
1610612756,Suns,36,46,0.439,West,10,2001-02
1610612745,Rockets,28,54,0.341,West,11,2001-02
1610612748,Heat,36,46,0.439,East,11,2001-02
1610612743,Nuggets,27,55,0.329,West,12,2001-02
1610612737,Hawks,33,49,0.402,East,12,2001-02
1610612763,Grizzlies,23,59,0.28,West,13,2001-02
1610612752,Knicks,30,52,0.366,East,13,2001-02
1610612744,Warriors,21,61,0.256,West,14,2001-02
1610612739,Cavaliers,29,53,0.354,East,14,2001-02
1610612741,Bulls,21,61,0.256,East,15,2001-02
1610612759,Spurs,60,22,0.732,West,1,2002-03
1610612765,Pistons,50,32,0.61,East,1,2002-03
1610612751,Nets,49,33,0.598,East,2,2002-03
1610612758,Kings,59,23,0.72,West,2,2002-03
1610612754,Pacers,48,34,0.585,East,3,2002-03
1610612742,Mavericks,60,22,0.732,West,3,2002-03
1610612750,Timberwolves,51,31,0.622,West,4,2002-03
1610612755,76ers,48,34,0.585,East,4,2002-03
1610612747,Lakers,50,32,0.61,West,5,2002-03
1610612740,Hornets,47,35,0.573,East,5,2002-03
1610612738,Celtics,44,38,0.537,East,6,2002-03
1610612757,Trail Blazers,50,32,0.61,West,6,2002-03
1610612762,Jazz,47,35,0.573,West,7,2002-03
1610612749,Bucks,42,40,0.512,East,7,2002-03
1610612753,Magic,42,40,0.512,East,8,2002-03
1610612756,Suns,44,38,0.537,West,8,2002-03
1610612745,Rockets,43,39,0.524,West,9,2002-03
1610612764,Wizards,37,45,0.451,East,9,2002-03
1610612760,SuperSonics,40,42,0.488,West,10,2002-03
1610612752,Knicks,37,45,0.451,East,10,2002-03
1610612744,Warriors,38,44,0.463,West,11,2002-03
1610612737,Hawks,35,47,0.427,East,11,2002-03
1610612741,Bulls,30,52,0.366,East,12,2002-03
1610612763,Grizzlies,28,54,0.341,West,12,2002-03
1610612746,Clippers,27,55,0.329,West,13,2002-03
1610612748,Heat,25,57,0.305,East,13,2002-03
1610612761,Raptors,24,58,0.293,East,14,2002-03
1610612743,Nuggets,17,65,0.207,West,14,2002-03
1610612739,Cavaliers,17,65,0.207,East,15,2002-03
1610612754,Pacers,61,21,0.744,East,1,2003-04
1610612750,Timberwolves,58,24,0.707,West,1,2003-04
1610612751,Nets,47,35,0.573,East,2,2003-04
1610612747,Lakers,56,26,0.683,West,2,2003-04
1610612759,Spurs,57,25,0.695,West,3,2003-04
1610612765,Pistons,54,28,0.659,East,3,2003-04
1610612758,Kings,55,27,0.671,West,4,2003-04
1610612748,Heat,42,40,0.512,East,4,2003-04
1610612740,Hornets,41,41,0.5,East,5,2003-04
1610612742,Mavericks,52,30,0.634,West,5,2003-04
1610612763,Grizzlies,50,32,0.61,West,6,2003-04
1610612749,Bucks,41,41,0.5,East,6,2003-04
1610612752,Knicks,39,43,0.476,East,7,2003-04
1610612745,Rockets,45,37,0.549,West,7,2003-04
1610612743,Nuggets,43,39,0.524,West,8,2003-04
1610612738,Celtics,36,46,0.439,East,8,2003-04
1610612739,Cavaliers,35,47,0.427,East,9,2003-04
1610612762,Jazz,42,40,0.512,West,9,2003-04
1610612761,Raptors,33,49,0.402,East,10,2003-04
1610612757,Trail Blazers,41,41,0.5,West,10,2003-04
1610612744,Warriors,37,45,0.451,West,11,2003-04
1610612755,76ers,33,49,0.402,East,11,2003-04
1610612737,Hawks,28,54,0.341,East,12,2003-04
1610612760,SuperSonics,37,45,0.451,West,12,2003-04
1610612764,Wizards,25,57,0.305,East,13,2003-04
1610612756,Suns,29,53,0.354,West,13,2003-04
1610612746,Clippers,28,54,0.341,West,14,2003-04
1610612741,Bulls,23,59,0.28,East,14,2003-04
1610612753,Magic,21,61,0.256,East,15,2003-04
1610612756,Suns,62,20,0.756,West,1,2004-05
1610612748,Heat,59,23,0.72,East,1,2004-05
1610612759,Spurs,59,23,0.72,West,2,2004-05
